Price,Open,High,Low,Close,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-01-02,3120.9746428953467,3126.5735409154686,3096.2824324758312,3121.4052734375,709547
2023-01-03,3112.360480090008,3177.4405885297742,3105.94822201932,3169.162109375,1245178
2023-01-04,3164.711485133984,3184.474922008757,3145.091747509391,3172.320068359375,1231668
2023-01-05,3187.2023198494617,3193.9975417739574,3141.0241581211785,3168.922607421875,1826057
2023-01-06,3158.2994089707186,3159.782899363974,3062.593366274636,3073.6474609375,2488376
2023-01-09,3090.3484577543945,3184.1403898881604,3082.8354391154307,3177.39306640625,2885060
2023-01-10,3143.943167992141,3156.3849522185938,3091.4006496064276,3145.282958984375,3864655
2023-01-11,3148.824455165407,3205.6737483731354,3130.687974007077,3185.766845703125,2720512
2023-01-12,3186.053949998748,3206.152217631663,3173.1815348415107,3191.17431640625,2250391
2023-01-13,3199.357091750638,3233.907065373371,3163.0845963477336,3229.648193359375,1742837
2023-01-16,3182.113266881313,3216.649316808273,3163.9339207761645,3198.469970703125,1843607
2023-01-17,3194.584409542297,3244.2779916443565,3185.950397624615,3241.01611328125,1688475
2023-01-18,3242.5511845501474,3270.3238764037073,3235.1163408577618,3252.14453125,2421189
2023-01-19,3242.5516896157833,3249.267033351674,3224.324328046937,3235.932373046875,1585044
2023-01-20,3228.161509570274,3256.6056918908125,3219.14385639351,3226.3388671875,1529349
2023-01-23,3250.225730387927,3279.96510395405,3219.1433820231946,3276.03173828125,1067916
2023-01-24,3285.7214823214213,3311.575506704762,3278.3346516708352,3296.56201171875,1387863
2023-01-25,3286.0095713913324,3295.315072205404,3266.535027906667,3290.278564453125,874110
2023-01-27,3286.6811201617334,3305.8678167184275,3244.758235027877,3272.339111328125,1785879
2023-01-30,3280.9249493217903,3317.8113247896295,3247.875912975965,3294.019775390625,1953798
2023-01-31,3308.7454024736803,3308.7454024736803,3214.7306012436366,3222.117431640625,2820375
2023-02-01,3226.2428534958594,3279.9656009819632,3218.5681752835585,3269.748779296875,2205161
2023-02-02,3287.639955924305,3327.93201257701,3281.0206403021025,3319.681640625,1813847
2023-02-03,3361.508677568011,3361.508677568011,3312.486582335118,3340.691162109375,1804469
2023-02-06,3331.913416084789,3331.913416084789,3297.0897517914855,3319.250244140625,1138714
2023-02-07,3327.8366660724405,3350.9567303274534,3320.641654484277,3331.33837890625,1455647
2023-02-08,3336.6142726405114,3395.9489863748618,3336.6142726405114,3376.954345703125,1986946
2023-02-09,3372.0619407057225,3403.336349971705,3362.756439660663,3396.86083984375,1655427
2023-02-10,3376.858694785748,3398.299922512969,3365.4904830514956,3393.695068359375,1187821
2023-02-13,3404.6788949173124,3404.6788949173124,3332.153096961854,3340.787109375,1087939
2023-02-14,3362.468224611322,3381.5111126639817,3352.8748773228444,3357.767578125,1579818
2023-02-15,3345.2004116061335,3382.6144684035635,3319.442178818249,3377.48193359375,1429449
2023-02-16,3383.7652709787526,3429.621515993147,3383.5734508833093,3413.36083984375,1618931
2023-02-17,3382.7585179492467,3394.9900373963314,3348.078656496087,3358.775146484375,1061369
2023-02-20,3359.590210740269,3378.776905261915,3333.7361867148666,3345.488037109375,1296082
