Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1417.846763951259,1417.846763951259,1417.846763951259,1417.846763951259,1417.846763951259,2023-01-02,0,0,0,0,0,0
,1423.32528849572,1423.32528849572,1423.32528849572,1423.32528849572,1423.32528849572,2023-01-03,0,0,0,0,0,0
,1424.4020950067627,1424.4020950067627,1424.4020950067627,1424.4020950067627,1424.4020950067627,2023-01-04,0,0,0,0,0,0
,1410.2611937869729,1410.2611937869729,1410.2611937869729,1410.2611937869729,1410.2611937869729,2023-01-05,0,0,0,0,0,0
,1376.6411390689725,1376.6411390689725,1376.6411390689725,1376.6411390689725,1376.6411390689725,2023-01-06,0,0,0,0,0,0
,1356.2255576840662,1356.2255576840662,1356.2255576840662,1356.2255576840662,1356.2255576840662,2023-01-09,0,0,0,0,0,0
,1387.8791147184363,1387.8791147184363,1387.8791147184363,1387.8791147184363,1387.8791147184363,2023-01-10,0,0,0,0,0,0
,1376.6410323850362,1376.6410323850362,1376.6410323850362,1376.6410323850362,1376.6410323850362,2023-01-11,0,0,0,0,0,0
,1387.8321104596064,1387.8321104596064,1387.8321104596064,1387.8321104596064,1387.8321104596064,2023-01-12,0,0,0,0,0,0
,1389.2837450958568,1389.2837450958568,1389.2837450958568,1389.2837450958568,1389.2837450958568,2023-01-13,0,0,0,0,0,0
,1414.100850323152,1414.100850323152,1414.100850323152,1414.100850323152,1414.100850323152,2023-01-16,0,0,0,0,0,0
,1430.021162290161,1430.021162290161,1430.021162290161,1430.021162290161,1430.021162290161,2023-01-17,0,0,0,0,0,0
,1446.6439437557135,1446.6439437557135,1446.6439437557135,1446.6439437557135,1446.6439437557135,2023-01-18,0,0,0,0,0,0
,1442.102018021819,1442.102018021819,1442.102018021819,1442.102018021819,1442.102018021819,2023-01-19,0,0,0,0,0,0
,1440.3224696586608,1440.3224696586608,1440.3224696586608,1440.3224696586608,1440.3224696586608,2023-01-20,0,0,0,0,0,0
,1437.513121770026,1437.513121770026,1437.513121770026,1437.513121770026,1437.513121770026,2023-01-23,0,0,0,0,0,0
,1460.9253950530808,1460.9253950530808,1460.9253950530808,1460.9253950530808,1460.9253950530808,2023-01-24,0,0,0,0,0,0
,1448.7508449195966,1448.7508449195966,1448.7508449195966,1448.7508449195966,1448.7508449195966,2023-01-25,0,0,0,0,0,0
,1447.81455099958,1447.81455099958,1447.81455099958,1447.81455099958,1447.81455099958,2023-01-27,0,0,0,0,0,0
