Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,2038.8716327732905,2038.8716327732905,2038.8716327732905,2038.8716327732905,2038.8716327732905,2023-01-02,0,0,0,0,0,0
,2034.0982534703217,2034.0982534703217,2034.0982534703217,2034.0982534703217,2034.0982534703217,2023-01-03,0,0,0,0,0,0
,2036.972156582768,2036.972156582768,2036.972156582768,2036.972156582768,2036.972156582768,2023-01-04,0,0,0,0,0,0
,2026.304854881748,2026.304854881748,2026.304854881748,2026.304854881748,2026.304854881748,2023-01-05,0,0,0,0,0,0
,2036.241471185819,2036.241471185819,2036.241471185819,2036.241471185819,2036.241471185819,2023-01-06,0,0,0,0,0,0
,2053.5819360097707,2053.5819360097707,2053.5819360097707,2053.5819360097707,2053.5819360097707,2023-01-09,0,0,0,0,0,0
,2076.8650182786214,2076.8650182786214,2076.8650182786214,2076.8650182786214,2076.8650182786214,2023-01-10,0,0,0,0,0,0
,2051.731070098705,2051.731070098705,2051.731070098705,2051.731070098705,2051.731070098705,2023-01-11,0,0,0,0,0,0
,2063.421143431398,2063.421143431398,2063.421143431398,2063.421143431398,2063.421143431398,2023-01-12,0,0,0,0,0,0
,2106.0903866791405,2106.0903866791405,2106.0903866791405,2106.0903866791405,2106.0903866791405,2023-01-13,0,0,0,0,0,0
,2091.5751364723506,2091.5751364723506,2091.5751364723506,2091.5751364723506,2091.5751364723506,2023-01-16,0,0,0,0,0,0
,2084.658459372712,2084.658459372712,2084.658459372712,2084.658459372712,2084.658459372712,2023-01-17,0,0,0,0,0,0
,2163.6648182426097,2163.6648182426097,2163.6648182426097,2163.6648182426097,2163.6648182426097,2023-01-18,0,0,0,0,0,0
,2201.5122139065384,2201.5122139065384,2201.5122139065384,2201.5122139065384,2201.5122139065384,2023-01-19,0,0,0,0,0,0
,2223.528443251669,2223.528443251669,2223.528443251669,2223.528443251669,2223.528443251669,2023-01-20,0,0,0,0,0,0
,2196.7872635000417,2196.7872635000417,2196.7872635000417,2196.7872635000417,2196.7872635000417,2023-01-23,0,0,0,0,0,0
,2186.7530628447626,2186.7530628447626,2186.7530628447626,2186.7530628447626,2186.7530628447626,2023-01-24,0,0,0,0,0,0
,2144.1811715000645,2144.1811715000645,2144.1811715000645,2144.1811715000645,2144.1811715000645,2023-01-25,0,0,0,0,0,0
,2118.5600099834787,2118.5600099834787,2118.5600099834787,2118.5600099834787,2118.5600099834787,2023-01-27,0,0,0,0,0,0
,2074.429767901476,2074.429767901476,2074.429767901476,2074.429767901476,2074.429767901476,2023-01-30,0,0,0,0,0,0
,2065.2237615399927,2065.2237615399927,2065.2237615399927,2065.2237615399927,2065.2237615399927,2023-01-31,0,0,0,0,0,0
,2077.9365287870414,2077.9365287870414,2077.9365287870414,2077.9365287870414,2077.9365287870414,2023-02-01,0,0,0,0,0,0
,2080.4698097904184,2080.4698097904184,2080.4698097904184,2080.4698097904184,2080.4698097904184,2023-02-02,0,0,0,0,0,0
,2120.7520345550315,2120.7520345550315,2120.7520345550315,2120.7520345550315,2120.7520345550315,2023-02-03,0,0,0,0,0,0
,2108.37994251412,2108.37994251412,2108.37994251412,2108.37994251412,2108.37994251412,2023-02-06,0,0,0,0,0,0
,2106.43152020804,2106.43152020804,2106.43152020804,2106.43152020804,2106.43152020804,2023-02-07,0,0,0,0,0,0
,2104.775533242292,2104.775533242292,2104.775533242292,2104.775533242292,2104.775533242292,2023-02-08,0,0,0,0,0,0
,2094.497819969872,2094.497819969872,2094.497819969872,2094.497819969872,2094.497819969872,2023-02-09,0,0,0,0,0,0
,2084.9506172200963,2084.9506172200963,2084.9506172200963,2084.9506172200963,2084.9506172200963,2023-02-10,0,0,0,0,0,0
