Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,3120.9746428953467,3120.9746428953467,3120.9746428953467,3120.9746428953467,3120.9746428953467,2023-01-02,0,0,0,0,0,0
,3112.360480090008,3112.360480090008,3112.360480090008,3112.360480090008,3112.360480090008,2023-01-03,0,0,0,0,0,0
,3164.711485133984,3164.711485133984,3164.711485133984,3164.711485133984,3164.711485133984,2023-01-04,0,0,0,0,0,0
,3187.2023198494617,3187.2023198494617,3187.2023198494617,3187.2023198494617,3187.2023198494617,2023-01-05,0,0,0,0,0,0
,3158.2994089707186,3158.2994089707186,3158.2994089707186,3158.2994089707186,3158.2994089707186,2023-01-06,0,0,0,0,0,0
,3090.3484577543945,3090.3484577543945,3090.3484577543945,3090.3484577543945,3090.3484577543945,2023-01-09,0,0,0,0,0,0
,3143.943167992141,3143.943167992141,3143.943167992141,3143.943167992141,3143.943167992141,2023-01-10,0,0,0,0,0,0
,3148.824455165407,3148.824455165407,3148.824455165407,3148.824455165407,3148.824455165407,2023-01-11,0,0,0,0,0,0
,3186.053949998748,3186.053949998748,3186.053949998748,3186.053949998748,3186.053949998748,2023-01-12,0,0,0,0,0,0
,3199.357091750638,3199.357091750638,3199.357091750638,3199.357091750638,3199.357091750638,2023-01-13,0,0,0,0,0,0
,3182.113266881313,3182.113266881313,3182.113266881313,3182.113266881313,3182.113266881313,2023-01-16,0,0,0,0,0,0
,3194.584409542297,3194.584409542297,3194.584409542297,3194.584409542297,3194.584409542297,2023-01-17,0,0,0,0,0,0
,3242.551184550148,3242.551184550148,3242.551184550148,3242.551184550148,3242.551184550148,2023-01-18,0,0,0,0,0,0
,3242.551689615784,3242.551689615784,3242.551689615784,3242.551689615784,3242.551689615784,2023-01-19,0,0,0,0,0,0
,3228.161509570274,3228.161509570274,3228.161509570274,3228.161509570274,3228.161509570274,2023-01-20,0,0,0,0,0,0
,3250.225730387927,3250.225730387927,3250.225730387927,3250.225730387927,3250.225730387927,2023-01-23,0,0,0,0,0,0
,3285.7214823214213,3285.7214823214213,3285.7214823214213,3285.7214823214213,3285.7214823214213,2023-01-24,0,0,0,0,0,0
,3286.0095713913324,3286.0095713913324,3286.0095713913324,3286.0095713913324,3286.0095713913324,2023-01-25,0,0,0,0,0,0
,3286.6811201617334,3286.6811201617334,3286.6811201617334,3286.6811201617334,3286.6811201617334,2023-01-27,0,0,0,0,0,0
,3280.9249493217903,3280.9249493217903,3280.9249493217903,3280.9249493217903,3280.9249493217903,2023-01-30,0,0,0,0,0,0
,3308.7454024736803,3308.7454024736803,3308.7454024736803,3308.7454024736803,3308.7454024736803,2023-01-31,0,0,0,0,0,0
,3226.2428534958594,3226.2428534958594,3226.2428534958594,3226.2428534958594,3226.2428534958594,2023-02-01,0,0,0,0,0,0
,3287.639955924305,3287.639955924305,3287.639955924305,3287.639955924305,3287.639955924305,2023-02-02,0,0,0,0,0,0
,3361.508677568011,3361.508677568011,3361.508677568011,3361.508677568011,3361.508677568011,2023-02-03,0,0,0,0,0,0
,3331.913416084789,3331.913416084789,3331.913416084789,3331.913416084789,3331.913416084789,2023-02-06,0,0,0,0,0,0
,3327.8366660724405,3327.8366660724405,3327.8366660724405,3327.8366660724405,3327.8366660724405,2023-02-07,0,0,0,0,0,0
,3336.6142726405114,3336.6142726405114,3336.6142726405114,3336.6142726405114,3336.6142726405114,2023-02-08,0,0,0,0,0,0
,3372.0619407057225,3372.0619407057225,3372.0619407057225,3372.0619407057225,3372.0619407057225,2023-02-09,0,0,0,0,0,0
,3376.858694785748,3376.858694785748,3376.858694785748,3376.858694785748,3376.858694785748,2023-02-10,0,0,0,0,0,0
,3404.6788949173124,3404.6788949173124,3404.6788949173124,3404.6788949173124,3404.6788949173124,2023-02-13,0,0,0,0,0,0
,3362.468224611322,3362.468224611322,3362.468224611322,3362.468224611322,3362.468224611322,2023-02-14,0,0,0,0,0,0
,3345.200411606133,3345.200411606133,3345.200411606133,3345.200411606133,3345.200411606133,2023-02-15,0,0,0,0,0,0
,3383.7652709787526,3383.7652709787526,3383.7652709787526,3383.7652709787526,3383.7652709787526,2023-02-16,0,0,0,0,0,0
,3382.7585179492467,3382.7585179492467,3382.7585179492467,3382.7585179492467,3382.7585179492467,2023-02-17,0,0,0,0,0,0
,3359.590210740269,3359.590210740269,3359.590210740269,3359.590210740269,3359.590210740269,2023-02-20,0,0,0,0,0,0
,3351.91545475949,3351.91545475949,3351.91545475949,3351.91545475949,3351.91545475949,2023-02-21,0,0,0,0,0,0
,3276.080089353148,3276.080089353148,3276.080089353148,3276.080089353148,3276.080089353148,2023-02-22,0,0,0,0,0,0
,3281.884214211261,3281.884214211261,3281.884214211261,3281.884214211261,3281.884214211261,2023-02-23,0,0,0,0,0,0
,3283.3230549969585,3283.3230549969585,3283.3230549969585,3283.3230549969585,3283.3230549969585,2023-02-24,0,0,0,0,0,0
,3252.144593441408,3252.144593441408,3252.144593441408,3252.144593441408,3252.144593441408,2023-02-27,0,0,0,0,0,0
,3193.145574568549,3193.145574568549,3193.145574568549,3193.145574568549,3193.145574568549,2023-02-28,0,0,0,0,0,0
,3187.869290841312,3187.869290841312,3187.869290841312,3187.869290841312,3187.869290841312,2023-03-01,0,0,0,0,0,0
,3224.324307062749,3224.324307062749,3224.324307062749,3224.324307062749,3224.324307062749,2023-03-02,0,0,0,0,0,0
,3217.608688766514,3217.608688766514,3217.608688766514,3217.608688766514,3217.608688766514,2023-03-03,0,0,0,0,0,0
,3225.187342201673,3225.187342201673,3225.187342201673,3225.187342201673,3225.187342201673,2023-03-06,0,0,0,0,0,0
,3227.201977550641,3227.201977550641,3227.201977550641,3227.201977550641,3227.201977550641,2023-03-08,0,0,0,0,0,0
,3247.347876803023,3247.347876803023,3247.347876803023,3247.347876803023,3247.347876803023,2023-03-09,0,0,0,0,0,0
,3178.1798932335464,3178.1798932335464,3178.1798932335464,3178.1798932335464,3178.1798932335464,2023-03-10,0,0,0,0,0,0
,3197.462609501381,3197.462609501381,3197.462609501381,3197.462609501381,3197.462609501381,2023-03-13,0,0,0,0,0,0
,3146.618154700995,3146.618154700995,3146.618154700995,3146.618154700995,3146.618154700995,2023-03-14,0,0,0,0,0,0
,3117.8380186547897,3117.8380186547897,3117.8380186547897,3117.8380186547897,3117.8380186547897,2023-03-15,0,0,0,0,0,0
,3077.5454087764915,3077.5454087764915,3077.5454087764915,3077.5454087764915,3077.5454087764915,2023-03-16,0,0,0,0,0,0
,3022.3842944468124,3022.3842944468124,3022.3842944468124,3022.3842944468124,3022.3842944468124,2023-03-17,0,0,0,0,0,0
,3040.755135435348,3040.755135435348,3040.755135435348,3040.755135435348,3040.755135435348,2023-03-20,0,0,0,0,0,0
,3015.4767541251367,3015.4767541251367,3015.4767541251367,3015.4767541251367,3015.4767541251367,2023-03-21,0,0,0,0,0,0
,3002.7656064012303,3002.7656064012303,3002.7656064012303,3002.7656064012303,3002.7656064012303,2023-03-22,0,0,0,0,0,0
,2988.231691352447,2988.231691352447,2988.231691352447,2988.231691352447,2988.231691352447,2023-03-23,0,0,0,0,0,0
,3020.8490163615606,3020.8490163615606,3020.8490163615606,3020.8490163615606,3020.8490163615606,2023-03-24,0,0,0,0,0,0
,3007.514314515956,3007.514314515956,3007.514314515956,3007.514314515956,3007.514314515956,2023-03-27,0,0,0,0,0,0
,2999.839871905109,2999.839871905109,2999.839871905109,2999.839871905109,2999.839871905109,2023-03-28,0,0,0,0,0,0
,3001.7582953291976,3001.7582953291976,3001.7582953291976,3001.7582953291976,3001.7582953291976,2023-03-29,0,0,0,0,0,0
,3060.2296643124405,3060.2296643124405,3060.2296643124405,3060.2296643124405,3060.2296643124405,2023-03-31,0,0,0,0,0,0
,3093.806202047412,3093.806202047412,3093.806202047412,3093.806202047412,3093.806202047412,2023-04-03,0,0,0,0,0,0
,3055.960571154015,3055.960571154015,3055.960571154015,3055.960571154015,3055.960571154015,2023-04-05,0,0,0,0,0,0
,3093.854189668319,3093.854189668319,3093.854189668319,3093.854189668319,3093.854189668319,2023-04-06,0,0,0,0,0,0
,3089.057837405062,3089.057837405062,3089.057837405062,3089.057837405062,3089.057837405062,2023-04-10,0,0,0,0,0,0
,3131.268913624373,3131.268913624373,3131.268913624373,3131.268913624373,3131.268913624373,2023-04-11,0,0,0,0,0,0
,3096.6843102624825,3096.6843102624825,3096.6843102624825,3096.6843102624825,3096.6843102624825,2023-04-12,0,0,0,0,0,0
,3079.464641584868,3079.464641584868,3079.464641584868,3079.464641584868,3079.464641584868,2023-04-13,0,0,0,0,0,0
,3006.6512288397944,3006.6512288397944,3006.6512288397944,3006.6512288397944,3006.6512288397944,2023-04-17,0,0,0,0,0,0
,3026.65335589644,3026.65335589644,3026.65335589644,3026.65335589644,3026.65335589644,2023-04-18,0,0,0,0,0,0
,3003.437224051802,3003.437224051802,3003.437224051802,3003.437224051802,3003.437224051802,2023-04-19,0,0,0,0,0,0
,2964.344522771059,2964.344522771059,2964.344522771059,2964.344522771059,2964.344522771059,2023-04-20,0,0,0,0,0,0
,2983.531208614425,2983.531208614425,2983.531208614425,2983.531208614425,2983.531208614425,2023-04-21,0,0,0,0,0,0
